data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;
1º de outubro de 2023;Foi muito boa, como sempre. Bem localizado, com café da manhã incluso. Muito bom.;Café da manhã com variedades e muito gostoso.;Sem comentários;10;;;;;;;
28 de setembro de 2023;Bom custo-benefício pela localização.;Localização é boa. Café da manhã é justo e o ar condicionado estava funcionando direitinho.;Não parece muito limpo, como se fosse uma limpeza feita superficialmente. Quartos não são muito bonitos mas até aí ok. Pouquíssimas tomadas, tinha que ficar disputando pra carregar o celular. Travesseiros velhos e murchos. Não tinha espelho nos quartos, e uma iluminação branca bem ruim. Isolamento acústico péssimo, acordávamos ao som das panelas batendo com as pessoas na cozinha fazendo o café da manhã. Mas foi ótimo.;5;;;;;;;
28 de setembro de 2023;Ruim;Um pouco do café da manhã;De tudo principalmente do quarto sem conforto. Cama ruim desconfortável lençol de solteiro em cama de casal nunca vi isso. Não tinha um lecol descrente.;3;;;;;;;
26 de setembro de 2023;Satisfatório;;Hóspedes conversando alto de madrugada. Café da manhã escasso. Café não fica em garrafa e sim em bule no banho-maria. Poucas opções de pães/bolo.;6;;;;;;;
26 de setembro de 2023;Excepcional;O atendimento nota 10 ótima localização;Tudo otimo;10;;;;;;;
26 de setembro de 2023;Ótimo atendimento;Localização boa, café da manhã bem servido;;10;;;;;;;
26 de setembro de 2023;Maravilhoso;Eu gostei de tudo , mas o conforto das camas me ganhou;;10;;;;;;;
25 de setembro de 2023;Perfeita;Tudo!;Não tenho do que reclamar;10;;;;;;;
24 de setembro de 2023;Excepcional;Gostei de tudo, limpeza, funcionários,café da manhã, hotel impecável.;Achei muito barulho de madrugada dos outros hóspedes.;10;;;;;;;
23 de setembro de 2023;Tranquila;Gostei de tudo;Do valor;10;;;;;;;
20 de setembro de 2023;Local ok pelo valor pago.;Localização;Travesseiros, falta de orientação da recepcionista;6;;;;;;;
19 de setembro de 2023;Excepcional;Hotel confortável, ótimo custo benefício, ótima localização, bem higienizado, enfim, adorei. Inclusive, qndo precisar ficarei lá novamente.;Senti falta de mais variedade nos itens do café da manhã, mas gostei.;10;;;;;;;
16 de setembro de 2023;Excepcional;Tudo bom atendimento, limpeza, estrutura;;10;;;;;;;
14 de setembro de 2023;Satisfatório;Boa localização, perto da praia e de comércios. Bom café da manhã.;As paredes do quarto eram muito finas, então dava pra ouvir os hóspedes de outros quartos conversando ou ouvindo música. A janela era muito pequena, então dava uma sensação de claustrofobia dentro do quarto. E não tem elevador. Tivemos que subir as malas de escada.;6;;;;;;;
12 de setembro de 2023;Lugar muito bom !;Atendimento excelente.;Instalação excelente;10;;;;;;;
11 de setembro de 2023;Muito aconchegante;Instalação bem aconchegante, quarto completo e bem espaçoso, local seguro e fui bem recebida.;;10;;;;;;;
7 de setembro de 2023;Excepcional;Atendimento, limpeza, café da manhã, hospitalidade, localização;;10;;;;;;;
6 de setembro de 2023;Boa;DA FUNCIONÁRIA SANDRA (COZINHEIRA) E SEUS BOLOS, PIZZAS E EMPADÃO .;;;;;;;;;
;;;;;;;;;;;
"NOTA 1000""";DO DESCONTO QUE É POUCO NAS DIÁRIAS;10;;;;;;;;;
4 de setembro de 2023;Nota 10;Recepção limpeza funcionários bem atenciosos;Nada a reclamar;10;;;;;;;
4 de setembro de 2023;Aceitável;Boa localização e funcionários atenciosos.;Travesseiros, toalhas e lençóis excessivamente velhos e desgastados, além do frigobar que não pode ser ligado.;5;;;;;;;
1º de setembro de 2023;Excepcional;Hotel com instalações bem limpas, novo e bem localizado.;;10;;;;;;;
29 de agosto de 2023;Custo benefício.;Tudo. Principalmente preço e localização.;Nada.;10;;;;;;;
28 de agosto de 2023;Satisfatório;Do quarto;O valor;6;;;;;;;
28 de agosto de 2023;Excepcional;Boa localização;;10;;;;;;;
27 de agosto de 2023;Perfeita;Acomodações muito boas e ótimo café da manhã;;10;;;;;;;
20 de agosto de 2023;Ótima;Gostei muito do café da manhã, é ótima localização, perto da praia, shopping;Precisa melhorar acesso a tomadas no quarto;10;;;;;;;
20 de agosto de 2023;SÓ VALEU PQ FOI SÓ UM DIA, PARA IR A MÉDICO.;LOCALIZAÇÃO;´QUARTO, CAMA, PEQUENA DEMAIS, MUITO APERTADA. CAFÉ DA MANHÃ E REFEITÓRIO MUITO INFERIOR;6;;;;;;;
16 de agosto de 2023;Deixou a desejar.;.....;Atendimento ruim, café da manhã muito fraco sem opções, não vale o justo benefício. ;;;;;;;;
"Fiquei no pior quarto sem espaço.""";6;;;;;;;;;;
15 de agosto de 2023;Desc;Hotel sem elevador, região feia, hotel escuro.;;;;;;;;;
Cama super dura.;;;;;;;;;;;
"Não tem nada das fotos no booking.""";;1;;;;;;;;;
14 de agosto de 2023;Muito boa.;Ótimo custo benefício. Quarto espaçoso e limpo!;Nada a reclamar.;10;;;;;;;
10 de agosto de 2023;Excepcional;Localização, estacionamento, atendimento ótimo,;;10;;;;;;;
9 de agosto de 2023;Não gostei;;O hotel está em reforma desta forma as condições não está boas. Na hora do café da manhã não tinha mais nada. O quarto no checkin estava sujo. O quarto estava com um buraco e fecharam com papel.;3;;;;;;;
7 de agosto de 2023;Excepcional;Quarto bem confortável, equipe bem atenciosa e o café da manhã muito bom.;as Frutas poderiam servir descascadas, as facas de mesa não facilitam muito para descascar, só uma dica!;10;;;;;;;
5 de julho de 2023;Satisfatório;;O café da manhã poderia ser melhor, tem poucas opções, o pão francês que tinha de extremamente duro!;6;;;;;;;
16 de junho de 2023;Gostei, voltaria;Bom preço, bom serviço e boa localização;A acústica do corredor é um pouco ruim;10;;;;;;;
15 de junho de 2023;Aceitável;Localização;Café da manhã;5;;;;;;;
12 de junho de 2023;Aceitável;;Quarto com cheiro de mofo, problemas no ar-condicionado.;5;;;;;;;
12 de junho de 2023;Muito boa;Localização excelente, perto da Boa Viagem. Café da manhã muito bom, ambiente higiênico;Não tenho queixa;10;;;;;;;
1º de junho de 2023;Necessária.;Localização.;Estrutura do Hotel;5;;;;;;;
29 de maio de 2023;Aceitável;A localização é ótima.;Tudo tinha um cheiro forte de cloro - desde a água até os lençóis e toalhas. Meus olhos ficaram bastante irritados, o que me preocupou bastante. Quarto simples, café simples, nada de especial.;5;;;;;;;
27 de maio de 2023;Excepcional;Da hospitalidade, limpeza, café da manhã. Custo benefício. Funcionários simpáticos em todas as funções e setores do hotel.;;10;;;;;;;
23 de maio de 2023;Péssimo;De nada;Hotel muito ruim, não tem nem janelas. Prá mim não passa de um calabouço. Não recomendo prá ninguém.;1;;;;;;;
19 de maio de 2023;Bom custo x beneficio para quem vai a trabalho;Localização;Café da Manhã;6;;;;;;;
12 de maio de 2023;Conforto e segurança;Bom café da manhã.;;10;;;;;;;
11 de maio de 2023;Não gostamos da estadia.;Chuveiro e ar condicionado ok;Colchão ruim, quase todos os canais da TV religiosos, café da manhã ruim, pessoas gritando no corredor à noite.;5;;;;;;;
8 de maio de 2023;Excepcional;Os colaboradores todos muito receptivos. Em especial a Recepcionista Cecília que é um amor de pessoa. Sempre disposta e numa educação extraordinária.;Gostei de tudo;10;;;;;;;
6 de maio de 2023;poderia ser melhor.;localização;hotel em obras e funcionários com péssimo atendimento.;5;;;;;;;
5 de maio de 2023;Otimo;Localização;Escada;10;;;;;;;
25 de abril de 2023;Aceitável;Ainda bem que so tem primeiro piso.para minha surpresa nao tinha,elevador,e mi. Colocaram num quarto com uma janela que dava com predio vizinho e que nao abria.;;;;;;;;;
"Primeiro dia ralo do banheiro entupido mais eles foram muito eficaz resolveram.""";O fato de a unica janela nao abrir e dar sobre o muro do predio ao lado.;;;;;;;;;;
"Nao da pra respirar ao menos no quarto que ficamos mim senti numa jaula.""";5;;;;;;;;;;
16 de abril de 2023;Excepcional;Gostei de tudo,o acolhimento....;;10;;;;;;;
16 de abril de 2023;Excelente;A localização e o atendimento e o café da manhã é excelente;Não tinha almoço e janta;10;;;;;;;
16 de abril de 2023;Excepcional;Limpeza;Hotel em obras;10;;;;;;;
13 de abril de 2023;Excepcional;O café da manhã é excelente. E o atendimento maravilhoso;Nada a reclamar;10;;;;;;;
13 de abril de 2023;Muito bom;O hotel tem um custo benefício muito bom.;;;;;;;;;
"Colaboradores solícitos e o hotel em geral muito limpo e organizado.""";O café da manhã é bom, mas poderia melhorar.;10;;;;;;;;;
12 de abril de 2023;Excepcional! Melhor café da manhã da região!;Excepcional! Todos os funcionários são super atenciosos e dedicados, ótima localização ao lado da praia, próximo ao aeroporto, centro da cidade, consulados, galerias e shopping centres. Um dos melhores cafés da manhã do país! Quartos e areas climatizadas, estacionamento coberto disponível, e duas unidades 2min uma da outra Uzi Mar e Uzi Praia. Superou tanto nossas expectativas que voltamos mais uma vez.;;10;;;;;;;
11 de abril de 2023;Satisfatório;Localização;Quarto alagou na chuva e o café da manhã da pra melhorar;6;;;;;;;
8 de abril de 2023;Aceitável;;banheiro sem box;;;;;;;;
muita escada para chegar ao quarto ;;;;;;;;;;;
sem vaga de estacionamento suficiente ;;;;;;;;;;;
quarto escuro ;;;;;;;;;;;
quarto para duas pessoas;" mas roupa de cama apenas para uma""";5;;;;;;;;;
7 de abril de 2023;Funcionários inconvenientes;Funcionários mal educados;Funcionários inconvenientes;;;;;;;;
"Café da manhã insatisfatório""";2;;;;;;;;;;
7 de abril de 2023;Satisfatório;Os funcionários são muito atenciosos e educados.;Café da manhã com pouca opção, alimentos requentados, frutas com muito tempo de geladeira depois de cortada.;6;;;;;;;
5 de abril de 2023;Muito bom! Funcionários super simpáticos e atenciosos.;Super recomendo;;10;;;;;;;
3 de abril de 2023;Excepcional;Os funcionários bem educados e dispostos a ajudar;Estava tudo ótimo. Não tenho nada negativo para falar;10;;;;;;;
30 de março de 2023;Bom custo benefício.;Boa localização. Café da manhã tem o básico.;Tv apenas com canais da tv aberta.;6;;;;;;;
30 de março de 2023;Tudo de bom;Proximidade com a Instituição que eu precisava interagi.;Apenas dos travesseiros.;10;;;;;;;
30 de março de 2023;Excepcional;Os espaços são pequenos porém muito bem cuidado, tudo limpo, aconchegante.;Apenas os travesseiros.;10;;;;;;;
27 de março de 2023;Excepcional;Excelente localização, quarto confortavel e equipe muito educada;;10;;;;;;;
25 de março de 2023;Excelente localização e bom custo X benefício;limpeza, espaço e limpeza do quarto;O colchão é muito duro. No segundo dia, tive que comprar um colchão inflável para colocar sobre o colchão da cama. Só assim pude dormir melhor;10;;;;;;;
25 de março de 2023;Excepcional;Localização;;;;;;;;;
Limpeza;;;;;;;;;;;
"Receptividade""";;10;;;;;;;;;
24 de março de 2023;Aceitável;Da localização.;As instalações são antigas, o quarto é muito pequeno, o controle da tv não funcionava que aliás é muito pequena e sem muitas opções de canais, estava cheio de areia, o café da manhã muito limitado, sem muitas opções.;5;;;;;;;
23 de março de 2023;Sufocante;Localização, limpeza, café da manhã, atendimento, disponibilidade de check-in antecipado.;Cama desconfortável, travesseiros acabados, quarto super pequeno e sufocante, chuveiro elétrico não funcionou. Valor muito alto para as instalações;3;;;;;;;
22 de março de 2023;Excepcional;Localização e o café da manhã são ótimos, sem contar da hospitalidade do sr. Clóvis e de Cecília.;;10;;;;;;;
20 de março de 2023;Não recomendo;Localização;Quarto pequeno, sem janelas adequadas, a janela não travava e aos fundos um muro baixo, deixando a sensação de insegurança. Solicitei uma manta ou cobertor e não fui atendida pois a informação passada foi de que não tinha disponível. Quanto ao café da manhã, o suco era bom. Enfim, experiência horrível.;3;;;;;;;
19 de março de 2023;Bom custo benefício;Localização muito boa. Café da manhã super diversificado e delicioso. Atendimento cordial e prestativo. Custo benefício excelente para a proposta do hotel.;;10;;;;;;;
17 de março de 2023;Satisfatório;;Atendimento péssimo, tive a sensação de pedir favor, recepcionista sequer me deu bom dia, fui solicitar minha chave mal havia saudado o recepcionista ele já foi dizendo que eui teria que dizer o número do quarto.;;;;;;;;
Café da manhã a partir das 7h? E quem está a trabalho e precisa sair as 7h do hotel; não toma café? Um absurdo;" espero não voltar.""";6;;;;;;;;
14 de março de 2023;Satisfatório;Custo e benefício bom;;;;;;;;;
14 de março de 2023;Não recomendo a estadia para amigos, quarto não tem vista para lugar nenhum ...;Café da manhã Razoável,acho que deveria ter mais opções de bolo e pão.;Nos deparamos várias vezes com insetos nos corredores e paredes como (Baratas );4;;;;;;;
14 de março de 2023;Aceitável;;Simplesmente em duas ocasiões, a recepcionista me telefonou para saber quando eu sairia do quarto para instalarem um TV e DO NADA uma funcionária do hotel bate na porta noite para fazer absolutamente nada além de me incomodar.;5;;;;;;;
13 de março de 2023;Excepcional;Tudo muito bom , hotel incrível, ótimos funcionários, super atenciosos e educados, ótimo café da manhã;;10;;;;;;;
13 de março de 2023;Excepcional;Custo benefício e café da manhã.;Travesseiro muito baixo, tive que pedir travesseiros extras.;10;;;;;;;
13 de março de 2023;razoável;localização;acomodação um pouco precária. lençois de cama muito estreitos;6;;;;;;;
12 de março de 2023;Uma boa estadia;A localização é excelente, o café da manhã muito variado e gostoso. O atendimento é cordial de todos os funcionários.;Senti falta no banheiro de uma ducha higiênica, um item necessário em um banheiro e de baixo custo de valor que o hotel deve colocar.;10;;;;;;;
11 de março de 2023;Excepcional;Localização e café da manhã!;;10;;;;;;;
11 de março de 2023;Excepcional;Café da manhã!;;10;;;;;;;
11 de março de 2023;Satisfatório;Boa localização, atendentes atenciosos, custo beneficio é bom, hotel para pouco tempo de estadia.;A cama não é muito confortável, o quarto é pequeno, pouca ventilação;6;;;;;;;
