data_avaliacao,titulo,comentario_positivo,comentario_negativo
24 de junho de 2024,Aceitável,"Localização 
Atendimento","Tivemos que trocar de quarto duas vezes. A primeira por barulho no ar condicionado e a segunda porque a tv não funcionava. Sendo que no checkin ganhamos um upgrade de quarto, que não se manteve com as trocas."
23 de junho de 2024,Ótima Localização,"Localização.
Café do final de semana é bom.","O quarto tem um aspecto antigo, um pouco degradado."
16 de junho de 2024,Aceitável,"Localização - perto do aeroporto, shopping, padaria.",Fizeram uma cobrança indevida de um item que não pedi (balde de gelo) e ficaram de estornar o valor porém não foi estornado.
7 de junho de 2024,Péssimo,Localizacao e cafe da manhā e cordialidade dos funcionarios.,O andar que ficamos estava com cheiro de mofo pedimos para trocar e ao chegar no apto do mesmo andar. Percebemos que nao ia adiantar. Tinha poeira em todas as frestas na cabeceira da cama e no apto 119 tinha cabelo em cima do lencol. Lencois nao tinha cheiro de limpo. Nao sei se era o mofo ou falta de limpeza. Minha esposa tem rinite e foi pessima essa experiencia. Nao tem Lugar para pendurar as toalhas apos o banho.
18 de maio de 2024,Custo X benefício ruim,"A localização é perfeita, em frente ao mar. O quarto é grande. O chuveiro é maravilhoso. Tem secador.","O ar do meu quarto não ligava. Fiquei mais de 40 min no calor esperando me trocarem de quarto. A cama é antiga e não muito confortável, os travesseiros são finos e duros. Precisam ser substituídos urgentemente. A diária do estacionamento é R$ 30,00 o que fica impraticável para estadias maiores."
8 de maio de 2024,Pior custo benefício,O espaço do quarto a localização e o chuveiro,O quarto que me deram (814) estava com um cheiro de mofo insuportável. Sou alérgica e tenho asma. Inicialmente me foi dito que passariam um aparelho chamado blaster. Mas pedi para trocar de quarto o que só foi atendido após muita insistência. O café da manhã é ruim pobre para um hotel que se diz 5 estrelas. O almoço no buffet cobram 125 reais o que é um absurdo pois além de pouca variedade não é bom de modo a valer a pena. Enfim esse hotel não é 5 estrelas
3 de maio de 2024,Um bom hotel antigo que precisa de reforma,"É um dos hotéis mais famosos de Recife, localizado no bairro mais turístico que é Boa Viagem. Bem de frente para a praia. O hotel ostenta luxo e glamour de seus tempos áureos do passado. O café da manhã é excepcional.","É um hotel antigo e que precisa de reformas e melhor manutenção tanto dos quartos, quantos das áreas comuns. A área da piscina no roof top está vergonhosa e em nada condiz com um hotel deste porte."
2 de maio de 2024,"O hotel precisa de uma reforma, caso não queira ser considerado quatro estrelas.",Espaço.,"Estrutura, mobília antiga pra um hotel de cinco estrelas."
25 de abril de 2024,Aceitável,,elevador enguiçou 2 x pessoas ficaram presa e eu tbm
24 de abril de 2024,Ruim,,"Um quarto de luxo, caríssimo, com uma TV antiga, sem pegar nenhum canal. Pedimos ajuda na recepção e ficaram 40 minutos tentando explicar e não resolveram nada."
17 de abril de 2024,ruim,Cafe da manhã e refeições,"Ar-condicionado péssimo, todos os dias pela manhã por volta das 9/10h passava um funcionário (a) para fazer a reposição do frigobar batendo na porta forte acordando a gente."
10 de abril de 2024,Bom,"Ótimo café da manhã, restaurante e localização.","Atendimento ao telefone muito ruim, tive dificuldades em resolver questão da reserva quando estava buscando alteração de datas"
5 de abril de 2024,Quatro estrelas seria uma classificação mais apropriada,"A colaboradora do check in foi amável e fez um upgrade ao pequeno almoço para o Restaurante Mirage
Pequeno almoço razoável",
5 de abril de 2024,Quatro estrelas seria uma classificação mais apropriada,Boa localização,Pequeno almoço sofrível
30 de março de 2024,Um pesadelo!,"Nada. Péssimo a rendimento, quarto com cheiro de mofo, ar condicionado fraco, o banheiro estava entupido, o estado de conservação do hotel está muito ruim!",
28 de março de 2024,Pode melhorar.,Café da manhã,Não tem Smart TV. Obriga o hóspede a fazer mágica para ver um seriado em streaming.
25 de março de 2024,Razoável,Café da manhã excelente e localização,"Hotel obsoleto, sem ar condicionado nos elevadores. Quartos velhos."
17 de março de 2024,Decepção.,,"Hotel deste padrão e preço e não tem mensageiro para ajudar com as malas no check out, eu com um bebê e 2 crianças e tive que descer 5 malas sozinho, além disso me cobraram R$ 157,00 por causa do meu bebê de 8 meses, não aceitaram ele sem cobrar a a taxa."
6 de março de 2024,Pagamento indevido,Do apartamento,Fazer uma reserva que foi aceita por um valor no sistema da Booking e quando chegar no hotel ter que pagar por uma criança de 2 anos. Isso foi constrangedor.
28 de fevereiro de 2024,Bom,Sempre me hospedo nesse hotel. A localização é excelente e a comida é muito boa!,"Ar condicionado não funcionou direito. Talvez esteja faltando gás ou é muita sujeira na parte de dentro. 
A dormida não boa com a minha familia."
4 de fevereiro de 2024,Aceitável,Funcionarios muito atenciosos e prestativos,"Tive um problema serio de saude devido uma espaquete que comi no jantar do sabado , mes fez muito mal"
1º de fevereiro de 2024,"Estadia boa, mas cara pro que oferece",,Ar condicionado sem funcionar
27 de janeiro de 2024,Satisfatório,Localização,Mobiliário antigo
21 de janeiro de 2024,Aceitável,Café da manhã ótimo e a cama também muito boa,Pedi um filé de tilapia com purê de banana horrível o peixe parecia velho descongelado e frito o purê sabor ruim e a piscina suja demais só a pequena que tava limpa no banheiro não tinha escova de dente toca de cabelo de plástico pastilha de dente nada só um pequeno sabonete o chuveiro demora um ano pra água esquentar
8 de janeiro de 2024,Decepcionante,Localização,"Ar condicionado do quarto não estava gelando, no checki fui cobrado por mais dois integrantes da família, mesmo reservando 2 quartos para 2 adultos cada"
5 de janeiro de 2024,Bom,quarto antigo e ar condicionado barulhento,achei o hotel antigo
5 de janeiro de 2024,Bom,"Boa localização, bom quarto, bom restaurante","Roupa de cama com cheiro ruim, cheiro de quase queimado."
27 de dezembro de 2023,Não condiz com a classificação do hotel,Localização boa,"A cama de casal estava com as molas muito ruins, além disso informavam que tinha uma massagem de cortesia na descrição mas quando cheguei lá disseram que só teria se fosse 3 diária e não informa isso na descrição"
22 de dezembro de 2023,"Serviço fraco, funcionários limitados","Vista e tudo confortável, apesar de antigo (desatualizado).",
20 de dezembro de 2023,Bom,Localização e estrutura do hotel,"Vídeos de quartos e elevadores muito sujos, precisa de limpeza permanente e frequente .

Piscina precisa de aquecimento"
15 de dezembro de 2023,Muito caro para pouco benefício. Não volto.,Excelente café da manhã. Localização boa.,"Quarto velho, com vazamento de água no banheiro e quarto. Piso velho e sujo."
30 de novembro de 2023,Prático por ser perto do aeroporto,"Gostei da Localização, atendimento e tudo bem limpo.",Da cama
18 de novembro de 2023,"PRIMEIRA E ÚNICA (ESPERO) VIAGEM A RECIFE. NO GERAL, PÉSSIMA PRESTAÇÃO DE SERVIÇOS.","As instalações do hotel são boas, as camareiras muito dedicadas, não há queixa nesse sentido.","1) café da manhã deixa muito a desejar; 2) a comida dos restaurantes do hotel não é boa; e; 3) a localização do hotel não é das melhores, por isso não atendeu às minhas expectativas."
4 de novembro de 2023,Bom,"Hotel bem localizado, café da manhã bom e funcionários solícitos.",O quarto tinha um odor estranho e o elevador era muito quente. O quarto era escuro e pouco espaçoso
22 de outubro de 2023,Satisfatório,Conforto,Atendimento limitado dos colaboradores
22 de outubro de 2023,Bom,,"Colchão muito deformado, lâmpadas do quarto queimadas, sistema de desligamento ao retirar o cartão não funciona, janela com vibração ocaisonada pelo vento, poucos canais na TV,"
21 de outubro de 2023,Sensibilidade e Empatia com o hospede é fundamental!!!,A localização e o café da manhã.,"Fiz a reserva de 5 noites para Lua de Mel com muita antecedência, porém para minha surpresa a recepcionista instalou os noivos numa suite handcap, informando que o hotel estava lotado. Sem levar em consideração que seria a noite de núpcias e lua de mel do casal que estavam ansiosos para curtir o lugar. Só depois de duas noites, qdo fui a recepção reclamar foi que disponibilizaram outra suite."
18 de outubro de 2023,BARULHO AS 08H DA MANH,Quartos limpos e amplos,Barulho alto de obra a partir das 08h da manha! Um absurdo! Localizacao distante.
16 de outubro de 2023,Bom,,Checkin muito demorado
16 de outubro de 2023,Bom,,"Precisa de um pouco mais de manutenção.
Precisa melhorar a segurança, pois há um elevador que pode subir sem colocar o cartão."
5 de outubro de 2023,Aceitável,Camas confortável,Café da manhã
23 de setembro de 2023,Bom,Café da manhã,
12 de setembro de 2023,Decepcionante. O hotel está envelhecido e necessitando de manutenção.,O local do cafe é agradavel e com musica ao vivo,"Informam que a piscina é aquecida e a agua é gelada. 
Estão fazendo uma obra no acesso à piscina e deixam a área suja e empoeirada.
Itens simples do café como leite em pó e achocolatado não são disponibilizados. È preciso solicitar,
Importunação pelo telefone as 22h para cobrar conta de restaurante que deveria ser cobrada no final da estadia."
27 de agosto de 2023,Mediana.,Localização e atendimento,"Quarto baixo sofre com poluição sonora da rua. E quarto próximo aos elevadores, captam muito movimento das pessoas. Além disso, o hotel está em obras, resultando em mais barulho."
12 de agosto de 2023,Bom,,"Localização 
Quarto com opção para família , interligado , que não fazia sentido no meu caso . Muito baralho do quarto ao lado ."
9 de agosto de 2023,Decepcionante,Localização,"Absoluta indiferença das pessoas de recepção.
Restaurante com comida de má qualidade. Ausência de renovação de Buffet uma hora antes do horário de encerramento"
7 de agosto de 2023,Bom,localização e simpatia staff,a precisar de umas obras
7 de agosto de 2023,Aceitável,"o hotel é top, desde a recepção, café da manhã, academia, receptividade e excelência de toda equipe!!","Ficamos na 11.o andar e estão reformando o 12.o andar. Fez muito barulho no nosso quarto pela manhã, fomos de férias para descansar. Infelizmente ocuparam o 11.o andar, que deveria ser bloqueado enquanto tivesse obra no andar de cima."
5 de agosto de 2023,Bom custo benefício,Localização,"Limpeza, o quarto estava com cheiro forte de mofo!"
30 de julho de 2023,HORRIBLE.,,"UMA DAS PIORES EXPERIÊNCIAS QUE JÁ TIVEMOS NO BRASIL. 

Péssimo sistema de ar-condicionado nos quartos, suítes com acessórios quebrados, no nosso check-in o shower gel estava vazio, ralo velho e quebrado, um descaso TOTAL."
17 de julho de 2023,Pessima,Localização,"Boa tarde. É a minha segunda vez no hotel, e dessa vez, sai com uma pessima impressão. Ainda antes da chegada, as 19h, recebi uma ligação que minha suite nao estava pronta. Ok. Ao chegar, as 20:30h, me informaram que que ela estava liberada e nela fui colocada. Porém , paguei por uma suite melhor que a da primeira hospedagem, mas foi colocada em uma suite velha, com ar condicionado com defeito, banheiro com limo nos azulejos, acordei com o quarto todo molhado no chao, inclusive pingando do teto por cima da mala. ( do ar condicionado)!
Enfim, dessa vez nao indicaria o hotel e nem voltaria a me hospedar. O valor nao condiz com o serviço a mim oferecido. Uma pena..."
10 de julho de 2023,Esperava mais de um hotel 5 estrelas,,"Apesar dos funcionários serem muito educados e gentis a reposição das comidas e bebidas era muito lenta, a todo momento faltava algum item, o buffet nuca ficava completo."
5 de julho de 2023,"Preciso de um hotel que atenda ""nômades digitais"" ótimo para férias, mas não apropriado p/ trabalho.","Ótimo hotel, localização, limpeza, atendimento de todos os funcionários muito bom mesmo, quarto bom, confortável e vista maravilhosa da praia de Boa Viagem. Ponto excepcional foi o café da manhã servido no Restaurante do andar C1 (não lembro o nome agora) personalizado, perfeito.","Viajei com o propósito de trabalhar em Home por alguns dias para relaxar e dar início a um novo projeto. No entanto, fiquei extremamente insatisfeito com a estrutura do hotel, que não estava preparado para receber hóspedes como eu. O Wi-Fi não se mantinha conectado, o que me obrigava a reconectar e refazer todo o processo a cada 30 minutos. Além disso, o hotel não oferecia um espaço apropriado para o trabalho. Embora o hall de entrada fosse agradável, era barulhento e as três mesas disponíveis não possuíam tomadas. Havia uma sala de trabalho no último andar, porém era pequena e escondida (apesar da bela vista que o hotel oferecia). Eu gostaria de trabalhar admirando a paisagem, já que buscar novas inspirações era o meu objetivo principal."
